Maximale erfüllbare Wünsche: 
1.	15
2.	6
3.	1

Zuordnung:  (G = Geschenk, P = Person, W = Wunsch)
G 	P 	W 	|	P 	G 	W
1	5	-	|	1	2	1
2	1	1	|	2	20	1
3	6	1	|	3	29	1
4	9	1	|	4	8	1
5	7	-	|	5	1	-
6	11	1	|	6	3	1
7	18	2	|	7	5	-
8	4	1	|	8	12	1
9	12	1	|	9	4	1
10	20	1	|	10	28	1
11	17	-	|	11	6	1
12	8	1	|	12	9	1
13	22	-	|	13	14	2
14	13	2	|	14	23	2
15	24	2	|	15	26	1
16	19	1	|	16	30	1
17	25	3	|	17	11	-
18	26	-	|	18	7	2
19	21	2	|	19	16	1
20	2	1	|	20	10	1
21	28	2	|	21	19	2
22	27	-	|	22	13	-
23	14	2	|	23	27	1
24	29	-	|	24	15	2
25	30	-	|	25	17	3
26	15	1	|	26	18	-
27	23	1	|	27	22	-
28	10	1	|	28	21	2
29	3	1	|	29	24	-
30	16	1	|	30	25	-
